,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Juancho Hernangomez,Juancho Hernangomez,F,26,81.0,214.0,--,6907815.0,toronto-raptors,4017839,https://www.espn.com/nba/player/_/id/4017839/juancho-hernangomez,Career,297.0,15.7,42.8,35.1,68.1,3.4,0.6,0.2,0.4,1.1,0.5,5.4
David Johnson,David Johnson,PG,21,76.0,209.0,Louisville,0.0,toronto-raptors,4592204,https://www.espn.com/nba/player/_/id/4592204/david-johnson,Career,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,Christian Koloko,F,22,85.0,230.0,Arizona,0.0,toronto-raptors,4431778,https://www.espn.com/nba/player/_/id/4431778/christian-koloko,,,,,,,,,,,,,
Svi Mykhailiuk,Svi Mykhailiuk,SG,25,79.0,205.0,Kansas,1729217.0,toronto-raptors,3133602,https://www.espn.com/nba/player/_/id/3133602/svi-mykhailiuk,Career,220.0,17.0,39.8,35.3,78.5,1.8,1.4,0.1,0.6,1.0,0.9,6.6
Otto Porter Jr.,Otto Porter Jr.,SF,29,80.0,198.0,Georgetown,1669178.0,toronto-raptors,2594922,https://www.espn.com/nba/player/_/id/2594922/otto-porter-jr,Career,504.0,26.0,47.7,39.8,79.4,5.1,1.5,0.4,1.1,1.8,0.8,10.6
Pascal Siakam,Pascal Siakam,PF,28,80.0,230.0,New Mexico State,33003936.0,toronto-raptors,3149673,https://www.espn.com/nba/player/_/id/3149673/pascal-siakam,Career,400.0,29.5,48.9,32.8,77.3,6.3,3.1,0.7,0.9,2.7,1.8,15.7
Gary Trent Jr.,Gary Trent Jr.,SG,23,77.0,209.0,Duke,16000000.0,toronto-raptors,4277843,https://www.espn.com/nba/player/_/id/4277843/gary-trent-jr,Career,204.0,27.9,41.6,38.9,82.0,2.2,1.4,0.2,1.1,1.6,0.7,13.5
Fred VanVleet,Fred VanVleet,SG,28,73.0,197.0,Wichita State,19675926.0,toronto-raptors,2991230,https://www.espn.com/nba/player/_/id/2991230/fred-vanvleet,Career,348.0,28.3,40.4,38.2,86.0,3.2,4.9,0.4,1.3,2.0,1.6,13.7
Yuta Watanabe,Yuta Watanabe,SF,27,81.0,215.0,George Washington,1762796.0,toronto-raptors,3133838,https://www.espn.com/nba/player/_/id/3133838/yuta-watanabe,Career,121.0,12.0,40.9,35.2,66.7,2.5,0.6,0.3,0.4,1.0,0.4,3.8
Thaddeus Young,Thaddeus Young,PF,34,80.0,235.0,Georgia Tech,14190000.0,toronto-raptors,3244,https://www.espn.com/nba/player/_/id/3244/thaddeus-young,Career,1085.0,29.3,50.2,33.2,66.3,5.8,1.8,0.4,1.4,2.2,1.5,12.8
