,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Ron Harper Jr.,Ron Harper Jr.,G,22,"6' 6""",245 lbs,Rutgers,--,toronto-raptors,4397251,https://www.espn.com/nba/player/_/id/4397251/ron-harper-jr,,,,,,,,,,,,,
Juancho Hernangomez,Juancho Hernangomez,F,26,"6' 9""",214 lbs,--,"$6,907,815",toronto-raptors,4017839,https://www.espn.com/nba/player/_/id/4017839/juancho-hernangomez,Career,297,15.7,42.8,35.1,68.1,3.4,0.6,0.2,0.4,1.1,0.5,5.4
David Johnson,David Johnson,PG,21,"6' 4""",209 lbs,Louisville,--,toronto-raptors,4592204,https://www.espn.com/nba/player/_/id/4592204/david-johnson,Career,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,Christian Koloko,F,22,"7' 1""",230 lbs,Arizona,--,toronto-raptors,4431778,https://www.espn.com/nba/player/_/id/4431778/christian-koloko,,,,,,,,,,,,,
Svi Mykhailiuk,Svi Mykhailiuk,SG,25,"6' 7""",205 lbs,Kansas,"$1,729,217",toronto-raptors,3133602,https://www.espn.com/nba/player/_/id/3133602/svi-mykhailiuk,Career,220,17.0,39.8,35.3,78.5,1.8,1.4,0.1,0.6,1.0,0.9,6.6
Otto Porter Jr.,Otto Porter Jr.,SF,29,"6' 8""",198 lbs,Georgetown,"$1,669,178",toronto-raptors,2594922,https://www.espn.com/nba/player/_/id/2594922/otto-porter-jr,Career,504,26.0,47.7,39.8,79.4,5.1,1.5,0.4,1.1,1.8,0.8,10.6
Pascal Siakam,Pascal Siakam,PF,28,"6' 8""",230 lbs,New Mexico State,"$33,003,936",toronto-raptors,3149673,https://www.espn.com/nba/player/_/id/3149673/pascal-siakam,Career,400,29.5,48.9,32.8,77.3,6.3,3.1,0.7,0.9,2.7,1.8,15.7
Gary Trent Jr.,Gary Trent Jr.,SG,23,"6' 5""",209 lbs,Duke,"$16,000,000",toronto-raptors,4277843,https://www.espn.com/nba/player/_/id/4277843/gary-trent-jr,Career,204,27.9,41.6,38.9,82.0,2.2,1.4,0.2,1.1,1.6,0.7,13.5
Fred VanVleet,Fred VanVleet,SG,28,"6' 1""",197 lbs,Wichita State,"$19,675,926",toronto-raptors,2991230,https://www.espn.com/nba/player/_/id/2991230/fred-vanvleet,Career,348,28.3,40.4,38.2,86.0,3.2,4.9,0.4,1.3,2.0,1.6,13.7
Yuta Watanabe,Yuta Watanabe,SF,27,"6' 9""",215 lbs,George Washington,"$1,762,796",toronto-raptors,3133838,https://www.espn.com/nba/player/_/id/3133838/yuta-watanabe,Career,121,12.0,40.9,35.2,66.7,2.5,0.6,0.3,0.4,1.0,0.4,3.8
