,Name,POS,Age,HT,WT,College,Salary,Team
Ed Davis,Ed Davis,C,33,"6' 9""",218 lbs,North Carolina,"$1,669,178",cleveland-cavaliers
Khalifa Diop,Khalifa Diop,C,20,"6' 11""",231 lbs,--,--,cleveland-cavaliers
Tim Frazier,Tim Frazier,PG,31,"6' 0""",170 lbs,Penn State,--,cleveland-cavaliers
Darius Garland,Darius Garland,PG,22,"6' 1""",192 lbs,Vanderbilt,"$7,040,880",cleveland-cavaliers
Brandon Goodwin,Brandon Goodwin,G,26,"6' 0""",180 lbs,Florida Gulf Coast,--,cleveland-cavaliers
Caris LeVert,Caris LeVert,SG,27,"6' 6""",205 lbs,Michigan,"$17,500,000",cleveland-cavaliers
Robin Lopez,Robin Lopez,C,34,"7' 0""",281 lbs,Stanford,"$5,000,000",cleveland-cavaliers
Kevin Love,Kevin Love,PF,33,"6' 8""",251 lbs,UCLA,"$31,258,256",cleveland-cavaliers
Lauri Markkanen,Lauri Markkanen,PF,25,"6' 11""",240 lbs,Arizona,"$15,690,909",cleveland-cavaliers
Evan Mobley,Evan Mobley,C,21,"6' 11""",215 lbs,USC,"$8,075,160",cleveland-cavaliers
Isaiah Mobley,Isaiah Mobley,F,22,"6' 10""",240 lbs,USC,--,cleveland-cavaliers
RJ Nembhard Jr.,RJ Nembhard Jr.,SG,23,"6' 4""",200 lbs,TCU,--,cleveland-cavaliers
Raul Neto,Raul Neto,PG,30,"6' 2""",180 lbs,--,"$1,669,178",cleveland-cavaliers
Isaac Okoro,Isaac Okoro,SF,21,"6' 5""",225 lbs,Auburn,"$6,720,720",cleveland-cavaliers
Cedi Osman,Cedi Osman,SF,27,"6' 7""",230 lbs,--,"$8,133,334",cleveland-cavaliers
Rajon Rondo,Rajon Rondo,PG,36,"6' 1""",180 lbs,Kentucky,"$1,669,178",cleveland-cavaliers
Ricky Rubio,Ricky Rubio,PG,31,"6' 2""",190 lbs,--,"$17,800,000",cleveland-cavaliers
Collin Sexton,Collin Sexton,PG,23,"6' 1""",190 lbs,Alabama,"$6,439,671",cleveland-cavaliers
Lamar Stevens,Lamar Stevens,F,25,"6' 6""",230 lbs,Penn State,"$1,517,981",cleveland-cavaliers
Luke Travers,Luke Travers,G,20,"6' 7""",207 lbs,--,--,cleveland-cavaliers
Dean Wade,Dean Wade,PF,25,"6' 9""",228 lbs,Kansas State,"$1,782,621",cleveland-cavaliers
Dylan Windler,Dylan Windler,SG,25,"6' 6""",196 lbs,Belmont,"$2,239,200",cleveland-cavaliers
Marvin Bagley III,Marvin Bagley III,PF,23,"6' 11""",235 lbs,Duke,"$11,312,114",detroit-pistons
Saddiq Bey,Saddiq Bey,SF,23,"6' 8""",215 lbs,Villanova,"$2,824,320",detroit-pistons
Buddy Boeheim,Buddy Boeheim,G,22,"6' 6""",195 lbs,Syracuse,--,detroit-pistons
Alec Burks,Alec Burks,SG,31,"6' 6""",214 lbs,Colorado,"$9,536,000",detroit-pistons
Cade Cunningham,Cade Cunningham,PG,20,"6' 6""",220 lbs,Oklahoma State,"$10,050,120",detroit-pistons
Hamidou Diallo,Hamidou Diallo,SG,23,"6' 5""",202 lbs,Kentucky,"$5,200,000",detroit-pistons
Jalen Duren,Jalen Duren,C,18,"6' 11""",250 lbs,Memphis,--,detroit-pistons
Carsen Edwards,Carsen Edwards,PG,24,"5' 11""",200 lbs,Purdue,"$1,782,621",detroit-pistons
Luka Garza,Luka Garza,C,23,"6' 10""",243 lbs,Iowa,"$925,258",detroit-pistons
Killian Hayes,Killian Hayes,PG,21,"6' 5""",195 lbs,--,"$5,572,680",detroit-pistons
Jaden Ivey,Jaden Ivey,G,20,"6' 4""",200 lbs,Purdue,--,detroit-pistons
Frank Jackson,Frank Jackson,PG,24,"6' 3""",205 lbs,Duke,"$3,000,000",detroit-pistons
Cory Joseph,Cory Joseph,PG,30,"6' 3""",200 lbs,Texas,"$4,910,000",detroit-pistons
Braxton Key,Braxton Key,G,25,"6' 8""",230 lbs,Virginia,--,detroit-pistons
Saben Lee,Saben Lee,PG,23,"6' 2""",183 lbs,Vanderbilt,"$1,489,065",detroit-pistons
Isaiah Livers,Isaiah Livers,PF,24,"6' 7""",230 lbs,Michigan,"$1,057,260",detroit-pistons
Rodney McGruder,Rodney McGruder,G,31,"6' 4""",205 lbs,Kansas State,"$1,669,178",detroit-pistons
Nerlens Noel,Nerlens Noel,C,28,"6' 11""",220 lbs,Kentucky,"$8,000,000",detroit-pistons
Kelly Olynyk,Kelly Olynyk,PF,31,"6' 11""",240 lbs,Gonzaga,"$12,195,122",detroit-pistons
Jamorko Pickett,Jamorko Pickett,PF,24,"6' 9""",206 lbs,Georgetown,--,detroit-pistons
Gabriele Procida,Gabriele Procida,G,--,"6' 7""",180 lbs,--,--,detroit-pistons
Isaiah Stewart,Isaiah Stewart,C,21,"6' 8""",250 lbs,Washington,"$3,277,080",detroit-pistons
Kemba Walker,Kemba Walker,PG,32,"6' 0""",184 lbs,Connecticut,"$8,729,020",detroit-pistons
Justin Anderson,Justin Anderson,F,28,"6' 5""",231 lbs,Virginia,--,indiana-pacers
Hugo Besson,Hugo Besson,G,21,"6' 3""",196 lbs,--,--,indiana-pacers
Goga Bitadze,Goga Bitadze,C,23,"7' 0""",250 lbs,--,"$3,098,400",indiana-pacers
Oshae Brissett,Oshae Brissett,SF,24,"6' 7""",210 lbs,Syracuse,"$1,701,593",indiana-pacers
Kendall Brown,Kendall Brown,G,19,"6' 8""",205 lbs,Baylor,--,indiana-pacers
Chris Duarte,Chris Duarte,SG,25,"6' 5""",190 lbs,Oregon,"$3,749,400",indiana-pacers
Tyrese Haliburton,Tyrese Haliburton,PG,22,"6' 5""",185 lbs,Iowa State,"$4,023,600",indiana-pacers
Buddy Hield,Buddy Hield,SG,29,"6' 4""",220 lbs,Oklahoma,"$22,768,890",indiana-pacers
Nate Hinton,Nate Hinton,G,23,"6' 5""",210 lbs,Houston,--,indiana-pacers
Isaiah Jackson,Isaiah Jackson,F,20,"6' 10""",205 lbs,Kentucky,"$2,451,240",indiana-pacers
Bennedict Mathurin,Bennedict Mathurin,G,20,"6' 6""",210 lbs,Arizona,--,indiana-pacers
T.J. McConnell,T.J. McConnell,PG,30,"6' 1""",190 lbs,Arizona,"$7,500,000",indiana-pacers
Andrew Nembhard,Andrew Nembhard,G,22,"6' 5""",193 lbs,Florida,--,indiana-pacers
Aaron Nesmith,Aaron Nesmith,SF,22,"6' 5""",215 lbs,Vanderbilt,"$3,631,200",indiana-pacers
Jalen Smith,Jalen Smith,F,22,"6' 10""",215 lbs,Maryland,"$4,458,000",indiana-pacers
Lance Stephenson,Lance Stephenson,G,31,"6' 5""",210 lbs,Cincinnati,"$642,729",indiana-pacers
Terry Taylor,Terry Taylor,SG,22,"6' 5""",230 lbs,Austin Peay,"$600,000",indiana-pacers
Daniel Theis,Daniel Theis,C,30,"6' 9""",245 lbs,--,"$8,280,351",indiana-pacers
Myles Turner,Myles Turner,C,26,"6' 11""",250 lbs,Texas,"$18,000,000",indiana-pacers
Gabe York,Gabe York,G,28,"6' 3""",185 lbs,Arizona,--,indiana-pacers
Grayson Allen,Grayson Allen,SG,26,"6' 4""",198 lbs,Duke,"$4,054,695",milwaukee-bucks
Giannis Antetokounmpo,Giannis Antetokounmpo,PF,27,"6' 11""",242 lbs,--,"$39,344,970",milwaukee-bucks
Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,30,"6' 6""",219 lbs,--,"$1,669,178",milwaukee-bucks
MarJon Beauchamp,MarJon Beauchamp,G,21,"6' 7""",197 lbs,--,--,milwaukee-bucks
Jevon Carter,Jevon Carter,PG,26,"6' 1""",200 lbs,West Virginia,"$441,277",milwaukee-bucks
Pat Connaughton,Pat Connaughton,SG,29,"6' 5""",209 lbs,Notre Dame,"$5,333,334",milwaukee-bucks
AJ Green,AJ Green,G,22,"6' 4""",190 lbs,Northern Iowa,--,milwaukee-bucks
George Hill,George Hill,PG,36,"6' 4""",188 lbs,IUPUI,"$4,000,000",milwaukee-bucks
Jrue Holiday,Jrue Holiday,PG,32,"6' 3""",205 lbs,UCLA,"$32,413,333",milwaukee-bucks
Serge Ibaka,Serge Ibaka,C,32,"6' 10""",235 lbs,--,"$9,720,900",milwaukee-bucks
Brook Lopez,Brook Lopez,C,34,"7' 0""",282 lbs,Stanford,"$13,302,325",milwaukee-bucks
Sandro Mamukelashvili,Sandro Mamukelashvili,PF,23,"6' 11""",240 lbs,Seton Hall,--,milwaukee-bucks
Wesley Matthews,Wesley Matthews,SG,35,"6' 4""",220 lbs,Marquette,"$1,237,494",milwaukee-bucks
Khris Middleton,Khris Middleton,SF,30,"6' 7""",222 lbs,Texas A&amp;M,"$35,500,000",milwaukee-bucks
Jordan Nwora,Jordan Nwora,SF,23,"6' 8""",225 lbs,Louisville,"$1,517,981",milwaukee-bucks
Bobby Portis,Bobby Portis,C,27,"6' 10""",250 lbs,Arkansas,"$4,347,600",milwaukee-bucks
Lindell Wigginton,Lindell Wigginton,G,24,"6' 1""",189 lbs,Iowa State,--,milwaukee-bucks
Christian Braun,Christian Braun,G,21,"6' 6""",218 lbs,Kansas,--,denver-nuggets
Bruce Brown,Bruce Brown,SF,25,"6' 4""",202 lbs,"$4,736,102",,denver-nuggets
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,SG,29,"6' 5""",204 lbs,Georgia,"$13,038,862",denver-nuggets
Facundo Campazzo,Facundo Campazzo,PG,31,"5' 10""",195 lbs,--,"$3,200,000",denver-nuggets
Vlatko Cancar,Vlatko Cancar,SF,25,"6' 8""",236 lbs,--,"$1,782,621",denver-nuggets
DeMarcus Cousins,DeMarcus Cousins,C,31,"6' 10""",270 lbs,Kentucky,"$431,684",denver-nuggets
Aaron Gordon,Aaron Gordon,PF,26,"6' 8""",235 lbs,Arizona,"$16,409,091",denver-nuggets
Jeff Green,Jeff Green,PF,35,"6' 8""",235 lbs,Georgetown,"$4,500,000",denver-nuggets
Markus Howard,Markus Howard,PG,23,"5' 10""",175 lbs,Marquette,--,denver-nuggets
Bones Hyland,Bones Hyland,PG,21,"6' 2""",169 lbs,Virginia Commonwealth,"$2,096,880",denver-nuggets
Nikola Jokic,Nikola Jokic,C,27,"6' 11""",284 lbs,--,"$31,579,390",denver-nuggets
DeAndre Jordan,DeAndre Jordan,C,34,"6' 11""",265 lbs,Texas A&amp;M,"$374,126",denver-nuggets
Jamal Murray,Jamal Murray,PG,25,"6' 3""",215 lbs,Kentucky,"$29,467,800",denver-nuggets
Zeke Nnaji,Zeke Nnaji,PF,21,"6' 9""",240 lbs,Arizona,"$2,498,760",denver-nuggets
Michael Porter Jr.,Michael Porter Jr.,SF,24,"6' 10""",218 lbs,Missouri,"$5,258,735",denver-nuggets
Davon Reed,Davon Reed,SG,27,"6' 5""",206 lbs,--,,denver-nuggets
Ish Smith,Ish Smith,PG,34,"6' 0""",175 lbs,Wake Forest,"$4,500,000",denver-nuggets
Peyton Watson,Peyton Watson,F,19,"6' 8""",200 lbs,UCLA,--,denver-nuggets
Jack White,Jack White,F,24,"6' 7""",222 lbs,Duke,--,denver-nuggets
Kyle Anderson,Kyle Anderson,SF,28,"6' 9""",230 lbs,UCLA,"$9,937,150",minnesota-timberwolves
Anthony Edwards,Anthony Edwards,SF,20,"6' 4""",225 lbs,Georgia,"$10,245,480",minnesota-timberwolves
Bryn Forbes,Bryn Forbes,SG,29,"6' 2""",205 lbs,Michigan State,"$4,500,000",minnesota-timberwolves
Rudy Gobert,Rudy Gobert,C,30,"7' 1""",258 lbs,--,"$35,344,828",minnesota-timberwolves
Nathan Knight,Nathan Knight,F,24,"6' 10""",253 lbs,William &amp; Mary,--,minnesota-timberwolves
A.J. Lawson,A.J. Lawson,G,22,"6' 6""",179 lbs,South Carolina,--,minnesota-timberwolves
Jake Layman,Jake Layman,SF,28,"6' 8""",209 lbs,Maryland,"$3,940,185",minnesota-timberwolves
Jaden McDaniels,Jaden McDaniels,PF,21,"6' 9""",185 lbs,Washington,"$2,063,280",minnesota-timberwolves
Jordan McLaughlin,Jordan McLaughlin,PG,26,"5' 11""",185 lbs,USC,"$2,000,000",minnesota-timberwolves
Josh Minott,Josh Minott,F,20,"6' 8""",205 lbs,Memphis,--,minnesota-timberwolves
Greg Monroe,Greg Monroe,C,32,"6' 10""",250 lbs,Georgetown,--,minnesota-timberwolves
Wendell Moore Jr.,Wendell Moore Jr.,F,20,"6' 5""",213 lbs,Duke,--,minnesota-timberwolves
Jaylen Nowell,Jaylen Nowell,SG,23,"6' 4""",201 lbs,Washington,"$1,782,621",minnesota-timberwolves
Taurean Prince,Taurean Prince,PF,28,"6' 6""",218 lbs,Baylor,"$13,000,000",minnesota-timberwolves
Naz Reid,Naz Reid,C,22,"6' 9""",264 lbs,LSU,"$1,782,621",minnesota-timberwolves
Austin Rivers,Austin Rivers,SG,29,"6' 4""",200 lbs,Duke,"$1,669,178",minnesota-timberwolves
D'Angelo Russell,D'Angelo Russell,PG,26,"6' 4""",193 lbs,Ohio State,"$30,013,500",minnesota-timberwolves
Matteo Spagnolo,Matteo Spagnolo,G,19,"6' 6""",194 lbs,--,--,minnesota-timberwolves
Karl-Anthony Towns,Karl-Anthony Towns,C,26,"6' 11""",248 lbs,Kentucky,"$31,650,600",minnesota-timberwolves
McKinley Wright IV,McKinley Wright IV,PG,23,"5' 11""",192 lbs,Colorado,--,minnesota-timberwolves
Darius Bazley,Darius Bazley,PF,22,"6' 8""",208 lbs,--,"$2,513,040",oklahoma-city-thunder
Ousmane Dieng,Ousmane Dieng,F,19,"6' 10""",216 lbs,--,--,oklahoma-city-thunder
Luguentz Dort,Luguentz Dort,SF,23,"6' 3""",215 lbs,Arizona State,"$1,782,621",oklahoma-city-thunder
Derrick Favors,Derrick Favors,C,31,"6' 9""",265 lbs,Georgia Tech,"$9,720,900",oklahoma-city-thunder
Melvin Frazier Jr.,Melvin Frazier Jr.,G,25,"6' 5""",215 lbs,Tulane,--,oklahoma-city-thunder
Josh Giddey,Josh Giddey,SG,19,"6' 8""",210 lbs,--,"$5,988,000",oklahoma-city-thunder
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,PG,24,"6' 6""",180 lbs,Kentucky,"$5,495,532",oklahoma-city-thunder
Jaylen Hoard,Jaylen Hoard,F,23,"6' 8""",216 lbs,Wake Forest,--,oklahoma-city-thunder
Chet Holmgren,Chet Holmgren,F,20,"7' 1""",195 lbs,Gonzaga,--,oklahoma-city-thunder
Ty Jerome,Ty Jerome,SG,25,"6' 5""",195 lbs,Virginia,"$2,412,840",oklahoma-city-thunder
Georgios Kalaitzakis,Georgios Kalaitzakis,SF,23,"6' 7""",192 lbs,--,"$925,258",oklahoma-city-thunder
Vit Krejci,Vit Krejci,G,22,"6' 8""",195 lbs,--,"$925,258",oklahoma-city-thunder
Theo Maledon,Theo Maledon,PG,21,"6' 4""",175 lbs,--,"$2,000,000",oklahoma-city-thunder
Tre Mann,Tre Mann,PG,21,"6' 5""",190 lbs,Florida,"$2,901,240",oklahoma-city-thunder
Mike Muscala,Mike Muscala,C,31,"6' 10""",240 lbs,Bucknell,"$3,365,385",oklahoma-city-thunder
Eugene Omoruyi,Eugene Omoruyi,F,25,"6' 6""",235 lbs,Oregon,--,oklahoma-city-thunder
Aleksej Pokusevski,Aleksej Pokusevski,C,20,"7' 0""",190 lbs,--,"$3,113,160",oklahoma-city-thunder
